path	added	removed	stage	status	evidence
codex-rs/app-server/tests/suite/v2/thread_resume.rs	1	1	P5	pending	
codex-rs/app-server/tests/suite/v2/thread_rollback.rs	7	0	P5	pending	
codex-rs/backend-client/src/client.rs	2	2	P6	pending	
codex-rs/chatgpt/src/chatgpt_client.rs	3	2	P6	pending	
codex-rs/chatgpt/src/connectors.rs	2	1	P6	pending	
codex-rs/cli/src/doctor.rs	26	15	P6	pending	
codex-rs/cli/src/doctor/background.rs	4	1	P6	pending	
codex-rs/cli/src/doctor/output.rs	11	10	P6	pending	
codex-rs/cli/src/doctor/snapshots/codex__doctor__output__tests__doctor_human_report_environment_rows.snap	2	2	P6	pending	
codex-rs/cli/src/doctor/updates.rs	16	10	P6	pending	
codex-rs/cli/src/login.rs	15	7	P6	pending	
codex-rs/cli/src/main.rs	54	34	P6	pending	
codex-rs/cli/src/marketplace_cmd.rs	8	8	P6	pending	
codex-rs/cli/src/mcp_cmd.rs	7	4	P6	pending	
codex-rs/cli/src/plugin_cmd.rs	7	7	P6	pending	
codex-rs/cli/src/sandbox_setup.rs	2	1	P6	pending	
codex-rs/cli/src/state_db_recovery.rs	2	1	P6	pending	
codex-rs/cli/tests/features.rs	1	1	P6	pending	
codex-rs/cli/tests/mcp_list.rs	1	1	P6	pending	
codex-rs/cli/tests/update.rs	3	1	P6	pending	
codex-rs/cloud-tasks/src/cli.rs	7	2	P6	pending	
codex-rs/cloud-tasks/src/lib.rs	11	8	P6	pending	
codex-rs/cloud-tasks/src/util.rs	1	1	P6	pending	
codex-rs/codex-mcp/Cargo.toml	1	0	P6	pending	
codex-rs/codex-mcp/src/connection_manager/startup.rs	2	1	P6	pending	
codex-rs/codex-mcp/src/connection_manager_tests.rs	1	1	P6	pending	
codex-rs/config/src/config_toml.rs	38	0	P6	pending	
codex-rs/core/Cargo.toml	1	0	P2-P4	pending	
codex-rs/core/README.md	1	1	P2-P4	pending	
codex-rs/core/config.schema.json	52	0	P2-P4	pending	
codex-rs/core/src/agent/control.rs	47	1	P2-P4	pending	
